,humidity,temp,timestamp
1399,55.00,20.00,2023-04-29 18:30:03.875024
1849,55.00,19.99,2023-04-29 18:35:04.378934
1935,55.00,19.92,2023-04-29 18:40:03.899755
2208,55.00,20.00,2023-04-29 18:45:04.407206
3616,55.00,19.97,2023-04-29 18:50:03.890097
3466,55.00,20.00,2023-04-29 18:55:04.351205
1697,55.00,20.12,2023-04-29 19:00:03.795164
654,55.00,20.03,2023-04-29 19:05:04.263252
3362,55.00,20.07,2023-04-29 19:10:03.773101
3423,55.00,20.07,2023-04-29 19:15:04.230316
2640,55.00,20.06,2023-04-29 19:20:03.761418
2926,55.00,20.06,2023-04-29 19:25:04.213608
2737,55.00,20.06,2023-04-29 19:30:04.644221
3683,55.00,19.95,2023-04-29 19:35:04.100387
1049,55.00,20.07,2023-04-29 19:40:04.573045
1446,55.00,20.00,2023-04-29 19:45:04.007716
3037,55.00,20.01,2023-04-29 19:50:04.453097
2393,55.00,20.09,2023-04-29 19:55:03.898592
1632,55.00,20.05,2023-04-29 20:00:04.350366
1195,55.00,19.99,2023-04-29 20:05:03.779379
999,55.00,20.03,2023-04-29 20:10:04.266498
3135,55.00,20.05,2023-04-29 20:15:03.707221
440,55.00,20.10,2023-04-29 20:20:04.201234
942,55.00,19.97,2023-04-29 20:25:04.653403
3965,55.00,20.00,2023-04-29 20:30:04.080319
3768,55.00,20.05,2023-04-29 20:35:04.570951
3104,55.00,20.09,2023-04-29 20:40:04.032303
346,55.00,20.01,2023-04-29 20:45:04.474112
1507,55.00,20.05,2023-04-29 20:50:03.910393
1295,55.00,20.01,2023-04-29 20:55:04.405179
2267,55.00,19.97,2023-04-29 21:00:03.838552
915,55.00,20.06,2023-04-29 21:05:04.305706
3846,55.00,20.00,2023-04-29 21:10:03.816484
1696,55.00,19.95,2023-04-29 21:15:04.255197
3578,55.00,19.99,2023-04-29 21:20:03.749100
2494,55.00,19.96,2023-04-29 21:25:04.185599
2723,55.00,19.92,2023-04-29 21:30:04.619810
2508,55.00,20.09,2023-04-29 21:35:04.047817
679,55.00,20.03,2023-04-29 21:40:04.500175
424,55.00,20.01,2023-04-29 21:45:03.942795
1215,55.00,20.05,2023-04-29 21:50:04.381182
1502,55.00,19.99,2023-04-29 21:55:03.855828
955,55.00,19.93,2023-04-29 22:00:04.299652
1063,55.00,19.95,2023-04-29 22:05:03.752407
3607,55.00,19.99,2023-04-29 22:10:04.235620
2712,55.00,20.03,2023-04-29 22:15:04.679139
349,55.00,20.00,2023-04-29 22:20:04.169339
762,55.00,19.99,2023-04-29 22:25:04.667304
1762,55.00,19.99,2023-04-29 22:30:04.129972
368,55.00,20.10,2023-04-29 22:35:04.620049
830,55.00,20.05,2023-04-29 22:40:04.099208
2781,55.00,19.95,2023-04-29 22:45:04.541401
3966,55.00,19.93,2023-04-29 22:50:04.016925
1203,55.00,19.96,2023-04-29 22:55:04.478490
1901,55.00,19.93,2023-04-29 23:00:03.941060
1270,55.00,19.92,2023-04-29 23:05:04.423562
2192,55.00,19.96,2023-04-29 23:10:03.895763
149,55.00,20.01,2023-04-29 23:15:04.331628
3344,55.00,19.87,2023-04-29 23:20:03.845740
3953,56.00,20.06,2023-04-29 23:25:04.298181
391,56.00,19.87,2023-04-29 23:30:03.759630
3687,56.00,20.01,2023-04-29 23:35:04.256797
652,56.00,20.01,2023-04-29 23:40:03.774853
2690,56.00,19.93,2023-04-29 23:45:04.215081
709,56.00,19.89,2023-04-29 23:50:03.728810
558,56.00,19.96,2023-04-29 23:55:04.202900
1052,56.00,19.96,2023-04-30 00:00:04.684411
2545,56.00,19.95,2023-04-30 00:05:04.172807
2331,56.00,19.90,2023-04-30 00:10:04.666616
1976,56.00,19.89,2023-04-30 00:15:04.123055
4025,56.00,19.89,2023-04-30 00:20:04.673209
3014,56.00,19.92,2023-04-30 00:25:04.144982
1214,56.00,19.86,2023-04-30 00:30:04.586314
1037,56.00,20.05,2023-04-30 00:35:04.079262
2279,56.00,19.92,2023-04-30 00:40:04.517393
1205,56.00,19.87,2023-04-30 00:45:03.991718
2775,57.00,19.87,2023-04-30 00:50:04.455797
3977,57.00,20.01,2023-04-30 00:55:03.918912
2993,57.00,19.86,2023-04-30 01:00:04.399877
2888,57.00,19.89,2023-04-30 01:05:03.839656
