,humidity,temperature,timestamp
571,51.42,19.31,2023-05-04 07:50:00
572,50.99,19.24,2023-05-04 08:10:00
573,49.59,19.25,2023-05-04 08:40:00
574,49.43,19.03,2023-05-04 09:10:00
575,49.06,19.04,2023-05-04 09:40:00
576,49.49,19.14,2023-05-04 10:00:00
577,50.03,19.31,2023-05-04 10:10:00
578,49.65,19.24,2023-05-04 10:20:00
579,50.09,19.31,2023-05-04 10:40:00
580,49.67,19.39,2023-05-04 11:00:00
581,49.2,19.64,2023-05-04 11:40:00
582,48.95,19.59,2023-05-04 11:50:00
583,49.64,19.78,2023-05-04 12:30:00
584,49.62,19.86,2023-05-04 13:20:00
585,50.01,19.9,2023-05-04 13:30:00
586,49.88,19.9,2023-05-04 13:40:00
587,50.11,19.93,2023-05-04 13:50:00
588,50.08,19.9,2023-05-04 14:00:00
589,50.03,19.89,2023-05-04 14:10:00
590,50.09,19.93,2023-05-04 14:20:00
591,49.57,19.89,2023-05-04 14:40:00
592,49.34,19.92,2023-05-04 15:20:00
593,49.54,20.09,2023-05-04 15:30:00
594,49.61,20.07,2023-05-04 15:40:00
595,49.52,20.12,2023-05-04 16:20:00
596,49.67,20.09,2023-05-04 16:30:00
597,49.75,20.13,2023-05-04 16:40:00
598,50.26,20.17,2023-05-04 17:00:00
599,50.69,20.28,2023-05-04 17:20:00
600,50.89,20.33,2023-05-04 17:30:00
601,51.55,20.48,2023-05-04 18:10:00
602,52.73,20.59,2023-05-04 18:40:00
603,52.75,20.47,2023-05-04 18:50:00
604,53.31,20.55,2023-05-04 19:20:00
605,55.9,20.68,2023-05-04 20:00:00
606,55.93,20.64,2023-05-04 20:20:00
607,56.33,20.59,2023-05-04 21:00:00
608,56.23,20.61,2023-05-04 21:20:00
609,56.44,20.65,2023-05-04 21:40:00
610,57.54,20.67,2023-05-04 22:00:00
611,57.6,20.64,2023-05-04 22:10:00
612,56.98,20.68,2023-05-04 22:50:00
613,56.07,20.63,2023-05-04 23:20:00
614,55.64,20.55,2023-05-04 23:30:00
615,55.61,20.5,2023-05-04 23:50:00
616,55.51,20.47,2023-05-05 00:10:00
617,55.51,20.44,2023-05-05 00:20:00
618,55.01,20.46,2023-05-05 00:40:00
619,54.96,20.46,2023-05-05 01:00:00
620,54.87,20.48,2023-05-05 01:10:00
621,54.93,20.37,2023-05-05 01:40:00
622,55.05,20.4,2023-05-05 02:00:00
623,55.1,20.26,2023-05-05 02:10:00
624,54.87,20.33,2023-05-05 02:20:00
625,54.55,20.28,2023-05-05 03:20:00
626,56.0,21.19,2023-05-05 03:30:00
627,55.03,20.07,2023-05-05 04:40:00
628,55.16,20.12,2023-05-05 05:20:00
629,55.46,20.07,2023-05-05 05:30:00
630,55.5,20.05,2023-05-05 05:40:00
631,55.72,19.97,2023-05-05 06:00:00
632,55.96,20.0,2023-05-05 06:30:00
633,56.07,19.85,2023-05-05 07:40:00
634,56.66,19.93,2023-05-05 08:10:00
635,56.75,19.9,2023-05-05 08:20:00
636,56.72,19.97,2023-05-05 08:30:00
637,56.7,19.9,2023-05-05 08:40:00
638,56.57,19.96,2023-05-05 08:50:00
639,55.14,20.05,2023-05-05 09:20:00
640,55.06,19.96,2023-05-05 09:30:00
641,54.8,19.97,2023-05-05 09:50:00
642,54.76,20.1,2023-05-05 10:10:00
643,54.8,20.1,2023-05-05 10:40:00
644,55.05,20.26,2023-05-05 10:50:00
645,54.85,20.36,2023-05-05 11:30:00
646,54.8,20.34,2023-05-05 11:40:00
647,54.65,20.38,2023-05-05 11:50:00
648,54.48,20.37,2023-05-05 12:00:00
649,54.27,20.34,2023-05-05 12:10:00
650,53.85,20.4,2023-05-05 12:30:00
651,53.94,20.37,2023-05-05 12:40:00
652,54.45,20.43,2023-05-05 13:00:00
653,54.85,20.48,2023-05-05 13:10:00
654,55.92,20.52,2023-05-05 13:40:00
655,55.62,20.51,2023-05-05 13:50:00
656,55.15,20.59,2023-05-05 14:00:00
657,54.38,20.63,2023-05-05 14:20:00
658,53.78,20.61,2023-05-05 14:40:00
659,53.44,20.63,2023-05-05 14:50:00
660,53.31,20.63,2023-05-05 15:00:00
661,52.81,20.65,2023-05-05 15:20:00
662,52.27,20.67,2023-05-05 15:30:00
663,52.09,20.71,2023-05-05 15:40:00
664,51.98,20.82,2023-05-05 16:10:00
665,55.0,20.77,2023-05-05 16:20:00
666,55.0,20.81,2023-05-05 16:30:00
667,55.0,20.75,2023-05-05 16:40:00
668,55.0,20.78,2023-05-05 16:50:00
669,50.31,21.08,2023-05-05 18:00:00
670,50.11,21.03,2023-05-05 18:10:00
671,50.05,21.15,2023-05-05 18:30:00
672,50.28,21.21,2023-05-05 18:50:00
673,50.17,21.26,2023-05-05 19:00:00
674,49.71,21.12,2023-05-05 20:10:00
675,50.14,21.06,2023-05-05 20:40:00
676,50.36,21.15,2023-05-05 20:50:00
677,51.95,21.03,2023-05-05 21:00:00
678,52.63,20.98,2023-05-05 21:10:00
679,53.94,21.09,2023-05-05 21:40:00
680,53.73,20.98,2023-05-05 21:50:00
681,53.77,20.96,2023-05-05 22:00:00
682,53.63,20.94,2023-05-05 22:10:00
683,53.74,20.95,2023-05-05 22:50:00
684,54.02,20.92,2023-05-05 23:10:00
685,54.75,20.95,2023-05-05 23:20:00
686,55.21,20.88,2023-05-05 23:30:00
687,54.24,20.79,2023-05-06 00:20:00
688,53.84,20.61,2023-05-06 01:00:00
689,53.55,20.65,2023-05-06 01:20:00
690,53.43,20.61,2023-05-06 02:00:00
691,53.53,20.52,2023-05-06 02:10:00
692,53.63,20.5,2023-05-06 02:50:00
693,53.73,20.48,2023-05-06 03:00:00
694,53.91,20.52,2023-05-06 03:40:00
695,54.04,20.36,2023-05-06 03:50:00
696,53.93,20.4,2023-05-06 04:00:00
697,53.92,20.3,2023-05-06 04:30:00
698,54.12,20.28,2023-05-06 04:50:00
699,54.07,20.17,2023-05-06 05:00:00
700,54.2,20.22,2023-05-06 05:30:00
