,humidity,temperature,timestamp
881,44.95,20.81,2023-05-02 19:30:00
882,46.42,20.73,2023-05-02 19:40:00
883,46.78,20.91,2023-05-02 19:50:00
884,46.95,20.78,2023-05-02 20:00:00
885,46.26,20.7,2023-05-02 20:10:00
886,46.54,20.7,2023-05-02 20:20:00
887,46.63,20.68,2023-05-02 20:30:00
888,45.9,20.58,2023-05-02 20:40:00
889,45.97,20.48,2023-05-02 20:50:00
890,45.87,20.51,2023-05-02 21:00:00
891,53.01,20.58,2023-05-02 21:10:00
892,54.18,20.44,2023-05-02 21:20:00
893,54.48,20.55,2023-05-02 21:30:00
894,52.19,20.41,2023-05-02 21:40:00
895,50.91,20.34,2023-05-02 21:50:00
896,50.92,20.31,2023-05-02 22:00:00
897,50.21,20.1,2023-05-02 22:20:00
898,48.76,19.86,2023-05-02 22:30:00
899,50.86,20.0,2023-05-02 22:40:00
900,53.61,20.01,2023-05-02 22:50:00
901,55.0,20.07,2023-05-02 23:00:00
902,55.86,20.12,2023-05-02 23:10:00
903,56.12,20.1,2023-05-02 23:20:00
904,56.45,20.12,2023-05-02 23:30:00
905,56.64,20.19,2023-05-02 23:40:00
906,56.6,20.24,2023-05-02 23:50:00
907,56.5,20.17,2023-05-03 00:00:00
908,56.65,20.09,2023-05-03 00:10:00
909,56.33,20.13,2023-05-03 00:20:00
910,56.55,20.16,2023-05-03 00:30:00
911,56.54,20.13,2023-05-03 00:40:00
912,56.23,20.15,2023-05-03 00:50:00
913,56.0,20.12,2023-05-03 01:00:00
914,56.03,20.12,2023-05-03 01:10:00
915,55.98,20.07,2023-05-03 01:20:00
916,55.91,20.12,2023-05-03 01:30:00
917,55.81,20.2,2023-05-03 01:40:00
918,55.66,20.12,2023-05-03 01:50:00
919,55.72,20.06,2023-05-03 02:00:00
920,55.68,20.12,2023-05-03 02:10:00
921,55.46,20.19,2023-05-03 02:20:00
922,55.37,20.2,2023-05-03 02:30:00
923,55.3,20.15,2023-05-03 02:40:00
924,55.14,20.09,2023-05-03 02:50:00
925,54.88,20.09,2023-05-03 03:00:00
926,54.85,20.17,2023-05-03 03:10:00
927,54.78,20.17,2023-05-03 03:20:00
928,54.68,20.01,2023-05-03 03:30:00
929,54.42,20.05,2023-05-03 03:40:00
930,54.21,20.07,2023-05-03 04:00:00
931,54.13,20.03,2023-05-03 04:10:00
932,53.92,20.03,2023-05-03 04:20:00
933,53.78,20.05,2023-05-03 04:30:00
934,53.61,20.0,2023-05-03 04:40:00
935,53.87,19.89,2023-05-03 04:50:00
936,53.92,19.93,2023-05-03 05:00:00
937,53.92,19.95,2023-05-03 05:10:00
938,54.0,19.93,2023-05-03 05:20:00
939,53.79,19.96,2023-05-03 05:30:00
940,54.0,19.83,2023-05-03 05:40:00
941,53.82,19.87,2023-05-03 05:50:00
942,53.82,19.78,2023-05-03 06:00:00
943,53.87,19.78,2023-05-03 06:10:00
944,53.77,19.79,2023-05-03 06:20:00
945,53.84,19.76,2023-05-03 06:30:00
946,53.82,19.83,2023-05-03 06:40:00
947,53.87,19.79,2023-05-03 06:50:00
948,53.79,19.83,2023-05-03 07:00:00
949,54.0,19.72,2023-05-03 07:10:00
950,53.93,19.71,2023-05-03 07:20:00
951,53.81,19.85,2023-05-03 07:30:00
952,54.9,19.78,2023-05-03 07:40:00
953,54.18,19.73,2023-05-03 07:50:00
954,52.26,19.79,2023-05-03 08:00:00
955,47.8,19.54,2023-05-03 08:10:00
956,46.97,19.44,2023-05-03 08:20:00
957,49.33,19.55,2023-05-03 08:30:00
958,50.04,19.62,2023-05-03 08:40:00
959,50.13,19.69,2023-05-03 08:50:00
960,49.85,19.71,2023-05-03 09:00:00
961,50.24,19.76,2023-05-03 09:10:00
962,50.37,19.79,2023-05-03 09:20:00
963,50.22,19.79,2023-05-03 09:30:00
964,50.04,19.71,2023-05-03 09:40:00
965,50.2,19.71,2023-05-03 09:50:00
966,51.01,19.8,2023-05-03 10:00:00
967,51.32,19.86,2023-05-03 10:10:00
968,51.77,19.95,2023-05-03 10:20:00
969,51.98,19.95,2023-05-03 10:30:00
970,52.05,19.93,2023-05-03 10:40:00
971,51.95,20.03,2023-05-03 10:50:00
972,51.77,20.03,2023-05-03 11:00:00
973,51.72,20.12,2023-05-03 11:10:00
974,51.54,20.13,2023-05-03 11:20:00
975,51.9,20.19,2023-05-03 11:40:00
976,52.15,20.2,2023-05-03 11:50:00
977,52.27,20.23,2023-05-03 12:00:00
978,52.4,20.22,2023-05-03 12:10:00
979,52.55,20.24,2023-05-03 12:20:00
